week,category,weekly_rank,weekly_hours_viewed,cumulative_weeks_in_top_10,Show_title,type,description,release_year,age_certification,runtime_mins,genres,production_countries,imdb_id,imdb_score,imdb_votes,drama,comedy,action,family,crime,romance,month_year
2022-10-30,Films (English),1,68310000,1,the good nurse,movie,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.,2022,R,121.0,"biography, crime, drama",United States,tt4273800,7.1,204.0,1,0,0,0,1,0,2022-10
2022-10-30,Films (English),2,41950000,2,the school for good and evil,movie,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,2022,PG-13,147.0,"action, comedy, drama",United States,tt2935622,5.8,18952.0,1,1,1,0,0,0,2022-10
2022-10-30,Films (English),3,9170000,2,the stranger,SHOW,A web of secrets sends family man Adam Price on a desperate quest to uncover the truth about the people closest to him.,2020,TV-MA,45.0,"thriller, crime, drama",United Kingdom,tt9698480,7.3,48298.0,1,0,0,0,1,0,2022-10
2022-10-30,Films (English),4,8890000,1,wild is the wind,movie,"An immigrant Nevada rancher brings a woman from Italy to be his second wife, but when he neglects her she becomes involved with his trusted assistant.",1957,Not Rated,114.0,drama,United States,tt0051193,6.7,1027.0,1,0,0,0,0,0,2022-10
2022-10-30,Films (English),5,8170000,3,the curse of bridge hollow,movie,"A teenage girl, who accidentally releases an ancient and mischievous spirit on Halloween which causes decorations to come alive and wreak havoc, must team up with the last person she'd want to in order to save their town - her fat...",2022,TV-14,89.0,"adventure, comedy, family",United States,tt15289240,0.0,4085.0,0,1,0,1,0,0,2022-10
2022-10-30,Films (English),6,8020000,4,luckiest girl alive,movie,"A woman in New York, who seems to have things under control, is faced with a trauma that makes her life unravel.",2022,R,113.0,"drama, mystery, thriller",United States,tt4595186,6.4,13563.0,1,0,0,0,0,0,2022-10
2022-10-30,Films (English),7,5420000,4,sing,movie,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",2016,PG,108.0,"animation, comedy, family","Japan, United States, France",tt3470600,7.1,169979.0,0,1,0,1,0,0,2022-10
2022-10-30,Films (English),8,4210000,4,the boss baby,movie,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",2017,PG,97.0,"animation, adventure, comedy",United States,tt3874544,6.3,127311.0,0,1,0,0,0,0,2022-10
2022-10-30,Films (English),9,3960000,1,hubie halloween,MOVIE,"Hubie Dubois, despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), is a figure of mockery for kids and adults alike. But this year, something really is going bump in the night, and it’s up to Hubie to save Halloween.",2020,PG-13,103.0,"horror, comedy, thriller, fantasy",United States,tt10682266,5.2,48575.0,0,1,0,0,0,0,2022-10
2022-10-30,Films (English),10,3940000,1,blade of the 47 ronin,movie,"Ancient Japanese Ronin warriors set 300 years after 47 Ronin, in a modern-day world where Samurai clans exist in complete secrecy.",2022,R,0.0,"action, drama, fantasy",United States,tt12610794,0.0,0.0,1,0,1,0,0,0,2022-10
2022-10-30,Films (Non-English),1,31500000,1,all quiet on the western front,movie,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",1930,Passed,152.0,"drama, war",United States,tt0020629,8.1,61923.0,1,0,0,0,0,0,2022-10
2022-10-30,Films (Non-English),3,15900000,2,20th century girl,movie,"In 1999, a teen with a heart of gold begins keeping close tabs on a popular classmate as a favor to her smitten best friend.",2022,TV-PG,119.0,"drama, romance",South Korea,tt15340724,7.3,1183.0,1,0,0,0,0,1,2022-10
2022-10-30,Films (Non-English),5,10470000,1,hellhole,movie,"In 1987 Poland, a police officer investigating mysterious disappearances infiltrates a remote monastery and discovers a dark truth about its clergy.",2022,TV-MA,91.0,horror,Poland,tt19724142,5.6,2465.0,0,0,0,0,0,0,2022-10
2022-10-30,Films (Non-English),9,2290000,8,rurouni kenshin: the beginning,MOVIE,"Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets gentle Tomoe Yukishiro, a beautiful young woman who carries a huge burden in her heart, his life will change forever.",2021,R,138.0,"action, drama",Japan,tt11991748,7.4,8273.0,1,0,1,0,0,0,2022-10
2022-10-30,Films (Non-English),10,1990000,4,laal singh chaddha,movie,"Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth, happiness and will also make you laugh.",2022,PG-13,159.0,"comedy, drama, romance",India,tt10028196,5.4,169172.0,1,1,0,0,0,1,2022-10
